"col","row","z"
717,452,0
786,464,0
789.67,466.5,1.5
802.5,523,0
533,536,0
960,629,0
960,631,0.5
1106,665,0
439,676,0.5
597.5,686.5,0.5
1067,703,0
782.67,800,0.6667
1040,815,0
375.67,855.33,0
1473.5,871.5,0.5
1523,885,0
1946,895,0
722,916,0
1651,944,0
734,951,0
885,1023,0
884.5,1033,0
1228.6,1037,0.8
2262,1049.5,0
2406,1049,0
1481,1060,0.5
686,1069,0.5
521,1102,0
1773,1111,0
1484,1126,0
1484,1128,0
859,1129,0
912,1141.5,0
914,1141,0
1043,1142.5,0.5
1703,1175,0
2069,1179,0
1218,1187,0
2875.5,1214.5,0
759,1219,0
686,1270,0
1833,1270,0
2894,1284,0
1146,1295,0
2688,1300,0
1038,1306,0
752,1314,0
2845.7,1324.7,0
1084,1339,0
2426,1348,0
2684,1355,0
2584.2,1377.6,0
2884,1428,0
1420,1460.5,0
2516,1475,0.5
2883,1476,0
2469,1488,0
2883,1489,0
870,1499,0
1806,1521,0
3295,1522,0
1016,1529,0
3041,1542.5,0
2322.5,1550,0
1380,1589,0
3031,1589,0
3423.5,1610.5,0
1786,1613,0
1926,1626,0
2417.5,1639,0
2529,1643.2,0.25
3119,1659,0
1856.7,1663.7,0
3375,1700.5,0
1356.2,1713.4,0.6
1706,1720,0.5
2265,1750,0.5
1208,1764.5,0
426,1770,0
426,1774,0
2489,1781,0
2398,1868,0
3437,1879,0
2584,1887,0
3245.2,1890,0.25
3280,2006,0
2810.5,2029.2,0.25
1104,2042,0
1326,2050,0
2906.3,2083,0.6667
1218,2105,0
3385,2111,0
1112,2124,0
3691,2154,0
3357,2207,0
896,2230,0
1982,2249,0
2384,2267,0
3679,2268,0
1859,2288,0
3188,2294,0
3102,2296.7,0.5714
2064,2300,0
1687,2356,0
3419,2376,0
2987,2437,0
960.09,2453.2,1.4545
1774.5,2460,0
2304.2,2474.5,0.6667
3291,2484,0.5
3291,2486,0
2065.5,2495,0
2432,2556,0
1318,2591,0
1318,2593,0
2412.5,2608,0
2412,2610,0
3210,2639,0
1762.5,2647,0
1841,2659,0
3841,2666,0
3840.5,2668.2,0.75
2190,2690.5,0
2189,2693,0
838,2723,0
2482,2733,0
1881,2737,0
3432,2777,0
3247,2778,0
576,2784,0
2406,2830,0
2197,2839,0
2637,2851,0
1955,2875,0
1067.7,2879,0
2859,2888,0
2859,2890,0
1054.5,2909,0
576,2938,0
2135,2976,0
1703.8,2997,0.4
2172,3003,0
2170,3004,0
1080,3027,0
2943.5,3032,0.5
2585,3052,0
1871,3063,0
1353,3101,0
2156,3104,0
2158,3104,0
2211,3125,0
2938,3129,0
1699.7,3144.3,0
2376,3274,0
3072,3369,0
1630,3479,0
3237.5,3512,0
1650,3555,0
1982,3585.5,0
3488,3629.5,0.5
2558.2,3636.2,0
1758,3637,0
2804,3654,0
2248,3657,0.5
3131,3677,0
3416,3700,0
3416,3702,0
3910,3794.7,0.3333
2492,3798,0
3137,3842,0
3092,3874.5,0.5
2070,3899,0
2996,3936,0
3441,3970,0
2437,3991,0
3405,4024,0
2945.5,4065,0
3593,4270,0
663,499,1
651,527,1
438,532,1
652,571,1
793.17,580.17,1
1083.3,602.57,1.4286
923,610,1
1244,621,1
836,629,1
890,631,1
994,662.5,1
660,687,1
662,687,1
623,734.5,1
1827,742,1
1459.5,745,1
1153,751,1
1638,758,1
795.75,766.5,1.75
1714.5,781.5,1
1870,781,1
1560.5,784,1
1178,829,1
1338,851,1
332,886,1
2085,893,1
1059,905,1
1675,906,1
363,907,1
928,936,1
530.25,940,2.25
937,950,1
1106.5,967,1
2079,1029,1
2006,1038,1
1090,1045,1
1719,1045,1
1721,1045,1.5
2414,1047.5,1
380,1065.5,1
529,1068.7,1
398,1077,1
1359,1093,1
1359,1095,1
1699,1095,1
1297,1107,1
1696,1118.5,1
1848,1123.5,1.5
2259,1155,1
2438,1176,1
1695,1178,1
1051,1184,1
1053,1184,1
2700,1186,1
2805.5,1202,1
2853,1205.5,1
1621,1208,1
2752.5,1212,1
2613,1232,1
2272,1260,1
2274,1260,1
2933,1273.5,1
2923.5,1276,1
2894,1287,1
1066.5,1291.5,1
643.5,1303.5,1
760,1311.5,1
758,1312,1
2190,1315,1
2894,1315,1
1398,1327,1
1812,1353,1
2985.2,1390.8,1.8
1109,1398,1
1899,1405,1
775.5,1425,1
1427,1440,1
2527,1454,1
2527.5,1456,1
3212,1466,1
2819,1477,1
856,1515,1
2208,1518,1
1861,1521,1
2944,1522,1
1302,1526,1
3221,1533,1
3026,1537,1
1784,1540,1
3304,1547,1
2052.5,1556,1
2041,1557.5,1
1701,1560,1
2626,1560,1
3075.5,1560,1
3346,1572.6,1.4
1179.5,1577,1
863,1579,1
3669,1582.5,1
1255,1595,1
3012.1,1597.5,2.9
1138,1601,1
2149,1608,1
1846,1614.5,1
1786.5,1616.5,1
2513,1620,1
3263,1620,1
3123,1622,1
846.71,1642,1
1517.5,1651,1
2214,1665,1
2197,1688.5,1
2221,1693,1
2201,1694,1
2157.5,1704.5,1
2193,1727.5,1
2224,1730,1
2223,1738.5,1
2178,1754,1.6667
3784.3,1755.7,1
2856,1773,1
2594,1778,1
2640,1785,1
1021.1,1787.4,1.625
3546.5,1789,2
3836.5,1791,1
986,1803,1
3282,1807,1
2976,1840.5,1
1959,1844,1
3869,1862,1
2302,1863,1
2400,1868.5,1
918,1891,1
3601,1900,1
294.5,1901,1
293.75,1903,1.25
2133.5,1904.5,1
2076,1921,1
3422.5,1923,1
299,1924,1.5
934,1925,1
2478,1940,1
3200,1942,1
3036,1944,1
2465,1975,1
2168,1995.5,1
1097,2002,1
1303,2018,1
1302.5,2020,1
711,2024,1.5
1977,2033,1
2002,2043,1
795,2045,1.5
1224,2071.5,1
1027,2096,1
1610,2123,1.5
857,2132,1
1428,2141,1
372.5,2145,1
1155,2168,1
1631,2170,1
2657,2172,1
3709,2181,1
3219,2214.5,1
888,2220,1
1993,2237,1
2653,2260,1
2014,2267,1
3371.3,2280.8,1.4444
2119,2285,1
2863,2298,1
2429,2318.5,1.5
2807,2326,1
2071,2329,1
3672,2341,1
838,2351,1
2462,2352,1
2205,2359,1
3637,2366,1
926,2380,1
2296.8,2403,1.8
956,2447,1
2305,2472,1
1037,2485,1
2499,2492,1
1105,2502,1
1862,2523,1
2554,2526,1
1618,2528,1
1462,2559.5,1
1591,2560,1
2597,2568,1
3491.5,2587.5,1.5
2881,2589,1
2412,2613,1
3227,2638,1
2241.5,2643,1
1022,2649.2,1.6
1443,2663,1
3112,2669,1
826,2719,1
3238,2735,1
1720,2739,1
701,2740,1
1850,2761,1
3703,2764,1
2987.5,2768,1
3637,2772,1
3639,2772,1
578,2784,1
1895,2792,1
3630,2793,1
1146,2799,1
3352,2842,1
1010,2849,1
2072,2859,1
2454.5,2870,1
1388,2874,1
1508,2909,1
3214,2926,1
1553,2939.5,1
1500.3,3002.3,1
1695.5,3006,1
3736.3,3014.7,1
3042,3017,1
1355,3019,1
1397,3033,1
2103.5,3065,1
1793,3072,1
1127,3086.5,1
3114,3103,1
2816.5,3104,1
1676,3108,1
1467,3121.5,1
1814,3124,1
2778,3129,1
2714,3130,1
3756,3132,1
3246,3168,1
3796.5,3168,1
2142.4,3197.6,1.625
3127,3210,1
2049,3236,1
1721,3246,1
1926,3263.5,1
1928,3263.5,1
2775,3270,1
1283,3289,1
1283,3293,1
2485,3295,1
1554,3301.5,1
2140,3316,1
3438,3321,1
1080,3336.3,1
1114,3348,1
3096,3352,1
2948,3382,1
3655,3388.5,1
3529,3392,1
3529,3394,1
3706,3429,1
2416,3433,1
2426,3471,1
1628,3480.5,1
1987,3500,1
3661,3502,1.5
1818.5,3544,1.5
1827,3546.5,1
1817,3547.5,1
3204,3548.5,1
2868,3570,1
3683,3637,1
2248,3655,1
2401,3673,1
2401,3675,1
3387,3678,1
3395,3699.5,1
2397,3784,1
3135,3800,1
2021,3801,1
3137,3808,1
2841,3909,1
2468,3939,1
2972.5,3941,1
2144,3959,1
3095,3984.5,1
3038,3992,1
3082,3997,1
2702,4031,1
2608,4073,1
3460,4096,1
3163,4100,1
2958.5,4150.5,1
3824,4176.5,1
3677,4311,1
563,344,2
732,471.5,2
465,534,2
772.5,542,2
1007,551,2
412,588,2
744.5,612,2
1324.4,652.8,2
1581.5,679,2
1449,704,2
777.43,712,3.2857
1711,724,2
1215,799,2
884.5,810,2
987,825,2
987,827,2
823,854.5,2
1702,855,2
566,867,2
1410,870.2,2.4
725,876,2.5
866,876,2
1760,877.5,2
284.33,883.33,2
1428,883.5,2
294.5,891.5,2
1913,917,2
1598,940,2
353,948,2
1794,967,2
2252,979,2
470,995,2
2068,999,2
2126.5,1008,2
545,1025,2
1753,1083,2
1753,1085,2.5
583.2,1122.1,2.4
1484,1128,2
1620,1128,2
733,1149,2
2263,1153,2
2730.3,1205.7,2
2736,1214,2
1972,1224,2
2615,1232,2
2615,1234,2
1678.7,1237.7,2
728,1238,2
1855.9,1242.1,4.2
2611,1253,2
1262,1266,2
686.69,1269.5,3
1406.5,1271,2
2065.5,1271,2
2746,1281.8,2
2533,1283,2
2928,1285,2
1385,1293,2
2784,1302,2
769,1304,2
771,1304,2.5
2240,1306,2
2184,1321.5,2
1398,1329,2
2633.3,1338.3,2
3028,1374,2
2585.3,1380.7,2
863,1381,2
2989,1392,2
1646,1459,2
1846,1459.8,2.6
1871.3,1472.7,2.3333
2520,1473,2
2083,1489,2
2242.5,1512,2
1238,1513,2
1300,1526,2
3436.3,1533,2
480,1536,2
3026,1543,2
1350.7,1544.7,2
3363,1553,2
3560,1558.5,2
487,1567.3,2.3333
1225,1581,2
2261.7,1601.7,2
3242,1601,2
2219,1602,2
3132.5,1606,2
3023.5,1609,2
2149,1610,2
1961,1640,2
1056.5,1653.5,2
3783.6,1664,2.5
3017.5,1665,2
3019.5,1667,2
3288,1673.5,2
3286,1674,2
2678,1675,2
2291.5,1677,2
2165.8,1680.9,2.6
2507.5,1692,2
2793,1692,2
831,1693,2
2704.5,1699,2
2156,1700,2
2998,1706,2
3348,1711.8,2
2122.2,1716,2
