"col","row","z"
789,577,0
621.5,593,0
1140,665,0
1140,667,0
1287,668,0
1286.8,670,0.6
463.5,717,0
1079,734,0.5
508,735,0
784,743,0
786,743,0
448,805,0
1375,805,0
1231,849,0
867,852,0
1274,891,0
1459,934,0
1761,948,0
1384,951,0
1062.3,955.33,0
686,971,0
686,973,0
1358.6,994.2,0.4
818,995,0.5
1794.7,1048,0
920,1053.2,0.4
813.5,1063,0
718.33,1067.3,0
557,1111,0
1192,1115.9,0.375
1243,1118,0
1241,1120,0
1243,1120,0.5
1241,1122,0
1669,1158,0
1772,1161,0
1774,1161,0
1772,1163,0
947,1227,0
1057,1228,0
2097,1252,0
2095,1254,0
2114,1267,0
981,1280.5,0
884,1304,0
551,1318,0.5
726,1367,0
730.33,1369.7,0.6
1585,1405,0
1960,1445,0.5
1230.9,1446.9,0.8571
1231,1451.5,0
992,1456,0
2282,1498,0
2284,1498,0
2202,1515,0
1739,1523,0
2324,1536,0.5
994.2,1539.8,0.4
2649.7,1577,0.3333
1033,1589,0
1739,1593,0
1733,1595,0
1401,1605.5,0
1000,1613,0
1804,1624,0
2874,1624.5,0
1838,1635,0
1782,1637,0
2131,1643,0
643.6,1666,0.8
1573,1692,0
1812,1706.5,0
1232,1710,0
1102,1724,0
505,1766,0
964,1784,0
144.12,1795,0.0832999999999999
2540,1794,0
144,1799,0
144,1801,0
150.67,1807.3,0
153,1808.5,0
420,1845,0
2401.5,1874,0
221,1875,0
1059,1891,0
1548,1893,0
3118,1895,0
2079,1903,0
2081,1903,0
3058,1920,0
1809.2,1922.6,0.6
2038,1922,0
2040,1922,0
1381,1927.4,0.8
1677,1933,0
2566.5,1939,0
2640.8,1961.8,0
659,1969.5,0
1286,1970,0
1288,1970,0
338,1980,0
340,1980,0
338,1982,0
340,1982,0
363.29,2003.6,0
371.4,2005.8,0
388,2015,0
1705,2033,0
1705,2035,0
421.15,2040.2,0
1798,2043,0
2841,2049,0.5
1634,2057,0
1060,2058,0
1634,2059,0
2581,2062,0
454,2073,0
473,2079,0
481,2084,0
481,2086,0
481,2088.5,0
747,2096,0
3008,2099,0
1833,2111,0
2813.5,2111.5,0
1320,2124,0
2397,2126,0
1326,2131,0
2835.1,2144.8,0.625
670,2150,0
670,2152,0
1548.5,2153.5,0
1822.5,2162,0
1744,2164,0
3051,2165,0
1744,2166,0
2070,2173,0
2982,2185,0.5
581,2190.5,0
583,2190.5,0
3400.2,2211,0
1523.5,2213,0
2708.4,2212.6,0.7143
619.21,2216.6,0.1579
613,2219.5,0
615,2219.5,0
611,2220,0
644,2241,0
649.1,2257.7,0
2191,2260.3,0
2900,2290,0
682,2296,0
680,2298.5,0
2116,2298,0
703.8,2309.9,0
3311.5,2312,0.5
1961,2314,0
2862,2345,0.5
2862,2347,0
934,2348,0
934,2350,0
1823,2386,0
812,2400.7,0
3490,2407,0
2610,2419,0.5
861,2431,0
866,2431,0
869.67,2434,0
3329,2435.8,0
2504,2436,0
3522,2439,0
2181,2447,0
911,2469,0
1353,2471,0
1586.7,2472.2,0
3296,2472,0
466,2476,0
3140,2487,0
948,2501.5,0
2716,2502,0
