"col","row","z"
1107,155,0
1108.8,161,0
740.25,171,0.25
736.5,221,0
400,237,0
518,237,0
768.5,249,0
1281,268,0
899.75,303,0
389,312,0
347,322,0
503,323.75,0
347,324,0
567.33,366.33,0
237.33,402.33,0
319.8,417,0
1347.5,426,0
611,432,0
1468.2,440.56,0.6111
683,442,0
616,445,0
1171,454.5,0
741,456,0
263,477,0
352,480,0
616.5,487,0
700.86,494.14,0.5238
466,493,0
510,498.5,0
729,503,0
1292.5,563,0
612.33,566.67,0
492.5,572.5,0
944.4,573.2,0
647.5,573,0
333.5,581.5,0
224,585,0
975,589.5,0
356.5,612,0
741,619,0
1043,627,0
1087.8,634.8,0.4
1268,642,0
1337.3,664.57,0
515,668,0
839.97,675.72,0
712.5,691,0
1113.2,695.6,0
251.5,698,0
563,744,0
501,755,0
631,759,0
633,759,0
864,776,0
643,782.5,0
687.75,792,0
379,807,0
1100.2,813,0
940,830.5,0
454,842.5,0
1235,855.5,0
1010.9,889.62,0
1231,887.5,0
573,916,0
1099.8,917.4,0
1147,926,0
1065,928,0
417,933,0
259,939,0
587,940,0
602,966.5,0
615.5,966.5,0
600.58,973,0
1068,1000,0
1070,1000,0
367,1039,0
292,1045,0
458,1081,0
905.2,1098.4,0
1399.9,1129.4,0.5714
593,1131,0
930.33,1140.3,0
724,1157,0
606,1182,0
639,1190.5,0
641.73,1190.8,0.9091
646,1202,0
249,1205,0
632,1216,0
674,1217,0
825,1230.3,0.6667
1043,1231,0
1043,1233,0
1091,1286,0
234,1297.2,0.6667
584,1301.5,0
1149.5,1301,0
911,1304,0
1000,1309,0
756,1320,0
1457,1324,0
1020,1331,0
392,1333,0
394,1333,0
712,1358,0
551.5,1366.2,0.75
1048.5,1373,0
695,1375.2,0.75
984.33,1403,0.3333
712.5,1409,0
689.86,1414.7,0.8571
681,1424,0
681,1426,0
754,1432,0
379,1441,0
381,1441,0
674,1443,0
777.33,1450.7,0
687.6,1456,0
683.09,1461.8,0
733.8,1462,0.6
741,1464.5,0
652.25,1466.8,0
833.5,1471.2,0.25
376,1472,0
631,1473.5,0
376,1474,0
378,1474,0
378,1476,0
739,1484,0
738.18,1489.4,0.4545
826.14,1490.2,0.1429
273.33,1495,0.3333
274,1497,0
508,1499,0
353,1504,0
1100,1504,0
220.67,1523.7,0
767.33,1524.3,0.3333
995,1528,0
214,1529,0
661.83,1530.7,0
923,1540,0
565.76,1549.4,0.6471
569,1552.5,0
925.43,1553.9,1
909.34,1563.6,1.1316
947,1562,0
937,1564,0
1005,1563.5,0.5
633.33,1565.3,0
934.5,1568,0
945,1568,0
747.4,1572.3,0.5333
501.75,1577.2,0.75
491,1579.5,0
755.67,1579.3,0
617,1582,0
763,1583,0
618.25,1584.8,0.25
775,1587.5,0
777,1587.5,0
782,1588,0
459.6,1598.4,0
295,1603.9,0.5714
379,1602,0
313.5,1603.5,0
247,1604,0
952.5,1605,0
1298.2,1606.8,0
274.5,1616.5,0
570,1640,0
853,1644,0
376,1654.5,0.5
927.5,1659.5,0
233.5,1682,0
1106,1696,0
744,1721,0
742,1722,0
385,1746,0
1117.8,1747.8,0.5385
590.5,1756,0
375.5,1777,0
695,1798.5,0
785,1827,0
847,1827,0
670.33,1844.2,0
1041,1873,0
1302.6,1882.3,0
627,1885,0.5
503,1899,0
790.5,1918,0
792,1922.8,0
655.58,1927.9,0
661,1932,0
1222,1934,0
777,1949.5,0
855,1950,0
1117,1990,0
1035,2047,0
1034.5,2049,0
945,2099,0.5
1095,2131.5,0
312,2141,0
343,2181,0
744,2219,0
1166.4,2226.4,0
637,2239,0
1292.7,2245,0
941.25,2248,0.75
1452.5,2252,0.75
615,2254,0
770,2263,0
509.67,2279.3,0.8333
532,2289,0
1470.5,2317,0.5
266.5,2337,0
744.33,2378.3,0
1106,2382,0
1108,2382,0
484,2394,0
506.75,2397,0
252,2436,0
1113,2471,0
584,2475,0
267.5,2480,0
265,2483,0
314.5,2493,0
1227.7,2506.3,0
588.8,2512.6,0
447,2512,0
573,2519,0
424.44,2529.7,1.7778
515,2536,0
536,2547,0.5
419,2548,0
464.22,2550.3,0.1111
342.12,2560.6,1.5625
318,2560,0
592,2567,0
428,2592,0
667.5,2600,0
670.25,2601.2,0
749,2637,0
758,2654,0
508,2659,0
506,2661,0
669.5,2666,0
1025,2673,0
369.25,2677,0.25
312,2686,0
479,2752,0.5
390,2770,0
413,2791,0
1498,2792,0
525,2817,0
854,2821.2,0
671.5,2834.5,0
675,2835,0
1023,2912.5,0
1025,2913,0
418,2916,0
733,2931,0
731,2934,0
1311,52.5,1
1326,67,1
1325,108,1
1051,159,1
540.25,166.25,1
552,181,1
754,181.5,1
1110,183,1
574,215,1
1251.5,223,1
1203,228,1
1199,231,1
440,233,1
518,239,1
657,246,1
645,254,1
1060,256.5,1
696,262.5,1
528,264,1
857,279.5,1
643,285.5,1
909,301,1
803,307,1
519.83,317.17,1
1306,319,1
1057,319,1
1262,319.5,1
609,326.5,1
1098,338,1
1202,338.5,1
668,347,1
236,352.5,1
232,357,1
1150.6,363.2,1
743,367,1
685.57,392.29,1
936.33,397.67,1.3333
1069.3,423.33,1
383.5,433.5,1
635,441,1
611,449,1
1399.3,453.33,1
825,458,1
685,473,1
788,493.75,1
586,497,1
1282,497,1
340,508.5,1
338,510.5,1
833.5,513,1
411.73,516.82,1.5455
931,516,1
372.33,524.5,1
935,528,1
384,576,1
993.33,581.33,1
824,605,1
918,608.5,1
381.5,615,1
444,619,1
533,626,1
1283.4,629.29,1.2857
832,631.5,1
211,640.5,1
623,649,1
663,656,1
265.75,665.75,1
661,687,1
1337,691,1
404,697,1
248,699.5,1
953,699,1
323.5,709,1
458.4,718.3,1
639.5,736,1
683,747.5,1
557,762,1
557,764,1
884,767,1
1146.3,777.67,1
372.33,779.67,1
982,791,1
812,805,1
1034,860,1
521,876.5,1
523,876,1
578.67,884.67,1
417.57,894.71,1
1232,893.5,1
759.5,914,1
280,922,1
1309,935,1
1309,937,1
1031.9,991.44,1.1875
615,1032,1
613,1034,1
615,1034,1
1074.5,1039.5,1
1427,1093.7,1.3333
943,1094,1
1274,1113,1
1449.7,1114.3,1
833,1137.2,1
938,1162,1
514,1164,1
514,1166,1
643.75,1185,1
782,1187.5,1
760,1190,1.5
618.5,1192,1
384.33,1200.7,1
318.64,1203.1,1.9286
615.57,1211.4,1.4286
297,1250.5,1
1050,1257,1
1050,1259,1
902,1261,1
1050,1261,1
333,1263,1
482,1272,1
532,1290,1
480.5,1293,1
616,1306,1
616.67,1310,1.3333
1000,1312.5,1
705.5,1318.5,1
499.83,1357.2,1
518,1360.5,1
818.75,1369,1
717,1372,1
1170.4,1380.7,1.4
509,1380,1
583.11,1389.2,1
943,1397,1
649,1416,1
698,1419,1
689,1423,1
609,1426,1
687,1427,1
887.8,1432.6,1.2
1060,1442,1
1020.3,1443.7,1
740,1446,1
1085.5,1446.5,1
945,1449,1
901,1451.5,1
699,1451.5,1
679.67,1455.7,1
337,1457.5,1
743.17,1462.2,1
679.25,1463.2,1.25
617,1463,1
825,1463,1
460.5,1464,1
732,1464.5,1
648.2,1467.3,1.7
828,1468,1
226,1469,1
676.78,1471.4,1.2609
833,1469,1
642,1470,1
1052,1471,1
378,1472,1
481.5,1473,1
661,1472.5,1
831,1474,1
667,1477.3,1
677,1478,1
692,1481,1
683,1483,1
692,1483,1
339.2,1489,1
275,1491.5,1
301.5,1491,1
340,1492,1
795,1492,1
224.75,1493.8,1
302,1493,1
519,1493,1
340,1494,1
660.75,1495.9,1
519,1495,1
670.5,1502,1
669,1504,1
693.5,1505,1
219.5,1509,1
238.39,1516.7,1
569,1519,1
613,1520,1
677,1520.5,1
303,1523,1
659,1528,1
484,1530,1
570.33,1532.3,1
1272,1538,1
1384,1539,1
604.67,1551.7,1
311,1554,1
645,1554,1
924,1556,1
1144,1559,1
905.67,1560.7,1
1010,1560.5,1
995,1563.5,1
208,1564,1
918.5,1564,1
302,1565,1
551.73,1576.8,2.6486
805,1582,1
622,1587.2,1
770.5,1588,1
770.5,1590,1
620,1593.3,1
637.2,1592.8,1.7333
561,1594,1
501.2,1596.1,1.1
376,1596,1
603,1596,1
603,1598,1
374.5,1602,1
1334,1614.5,1
343.5,1630,1
469,1631,1
